0,"100,000 miles is way to long for one person to be able to run in one day.",0
1,Only humans play volleyball,0
2,Chairs can't walk,0
3,An elephant is a wild animal,0
4,A football is thing to play with not a thing to eat,0
5,Stars has not eyes,0
6,"Books have pages and words to read, while windows do not and serve a different purpose.",0
7,A tiger has not letters on herself,0
8,"If you jumped from a plane to get groceries, you would have no way to get them home.",0
9,A mountain is much bigger than a person,0
10,A purse is too small for a giraffe to be in.,0
11,"You need a bouncing objet for playing basketball, and a rock does not bounce",0
12,summertime is typically vacation time for school,0
13,Chocolate is a melting solid therefore cannot cry,0
14,A jellyfish is a sea creature not intended to hold anything.,0
15,Programming language is not a weapon,0
16,You can't share food with an establishment,0
17,Beds are generally comfortable while volcanoes cause destruction.,0
18,The sun is a natural object created from space,0
19,a trampoline is not sentient and cannot jump,0
20,Dragons are not a creature that exists,0
21,Lunch box is a container to carry food,0
22,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,0
23,shoes are needed to walk outside,0
24,Fridge is a tool and is not a musical instrument,0
25,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",0
26,Tight shoes make walking unbearable.,0
27,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",0
28,No one can digest electronic goods.,0
29,Europe is a continent but france is a country,0
30,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",0
31,Fire hydrants do not have firing mechanisms,0
32,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant",0
33,The whale is much larger than a bathtub.,0
34,People do not drink sulfuric acid because it would kill them.,0
35,Planes are much bigger than people,0
36,You can't buy hands from a shop.,0
37,the house is bigger than the man,0
38,Book is not eatable.,0
39,lava is too hot to swim in it,0
40,A horse is much larger than a wallet.,0
41,A sword is not alive,0
42,Globes are made of materials you cannot eat,0
43,You can not drink gas.,0
44,An anvil is too heavy to throw in a basket.,0
45,Spoon is an utensil,0
46,landscapes portray land rather than individual people,0
47,Sharks and fish do not talk.,0
48,Heaven has no pages like the book.,0
49,minecraft is a virtual game,0
50,"Shoes go on feet, not in mouths.",0
51,The door is not alive,0
52,Cars cannot ride across the ocean,0
53,A ship is much larger than a piano.,0
54,A fish has no intelligence to drive a car,0
55,Cleveland is a city not a state.,0
56,"Broiling is a process to cook meat, not cake.",0
57,Whales are to heavy to be apart of the water cycle.,0
58,Breathing fire is not something humans can do.,0
59,Zebras do not hunt lions.,0
60,turning on the heaters will not help you see things in the dark,0
61,Dog is an animal which cannot be used to drink beer,0
62,The moon is not a destination everyday people can visit,0
63,People do not eat automobiles for food,0
64,A glass is much smaller than a pool.,0
65,A snow globe is too small for a person to live in,0
66,Milk is a liquid not an musical instrument.,0
67,The bed is too big for a pan.,0
68,A dishwashers purpose is too clean dishes and was invented to do so.,0
69,People don't go the moon casually,0
70,You can't type something on a floor,0
71,Mechanic does not know anything about human medicine and works with machine,0
72,Dogs cannot fly.,0
73,Gyms can't give medical care or vaccines to animals,0
74,"According to Oxford, the correct form is potatoes",0
75,A soap should be in a soap dish.,0
76,Lunch box is to store and carry food,0
77,No one sits and relaxes on stove,0
78,Pen is too small to hold clothes,0
79,"Shirts are worn on the torso, not on feet",0
80,No one can cook plate for food,0
81,A guitar is for playing music,0
82,You can't make a phone call to written words.,0
83,Mobile is a communicating device,0
84,A bed is an object specifically used for sleeping,0
85,You cannot bake a pie in the bathtub.,0
86,No one sleeps in a bathtub.,0
87,A gorilla is to large to fit into an oven.,0
88,shower will be done only in the bath room,0
89,malls cannot drive,0
90,Teddies are soft and cannot cause injuries,0
91,Planets have a sphere shape due to the different forces around the volume,0
92,Cats are live and cannot be frozen.,0
93,Boats can not sail on sand as it is solid.,0
94,The Students has no right to Scold the teacher,0
95,A stove cannot display shows or programmes,0
96,Ice cream melts in oven,0
97,No one eats spoon,0
98,"Water has got no color, it is transparent",0
99,A fox can't fly,0
100,Lotion is rubbed on people not baskets,0
101,People don't drive cars inside their home,0
102,A car would sink into the river.,0
103,Dog is not a computer peripheral,0
104,"Spaceships are for space, not Earth.",0
105,No one buys gift for a funeral,0
106,Permanent marker is very difficult to remove,0
107,Pen is not a communication device,0
108,Leopards are not used as vehicles,0
109,Water cannot be walked on,0
110,Islands are too expensive for a single person to own,0
111,wood is not edible and hence it is not given to a dog.,0
112,"Sand is not metabolized by the body, and should not be eaten",0
113,Bike is not a human and no one waves at bike,0
114,children's never get jailed because of their age,0
115,Roller blades are not something you carry with you.,0
116,Theater is a place to watch movie,0
117,No water is in the stadium.,0
118,Eating garbage is dangerous,0
119,"On Earth, gravity usually brings objects back down",0
120,Dogs are not able to jump between tree branches,0
121,A baby can not have a career.,0
122,Walls don't have locks,0
123,Bathtubs are not for cooking food.,0
124,A rock is not a good gift to give to somebody.,0
125,Your home cannot clean itself.,0
126,houses are much bigger than people,0
127,A paper clip cannot cut paper.,0
128,Music does not feel.,0
129,"People commonly wear clothes, but clothes do not typically wear people.",0
130,Fish does not live in cooker,0
131,Irrelevant matters have nothing to do with survival.,0
132,Lion does not build web,0
133,People don't eat dirt because it tastes bad.,0
134,Spoon is an utensil which has nothing to do with eye,0
135,12345 are numbers,0
136,Tigers cannot drive cars.,0
137,A doctor studies the human illnesses,0
138,Pebbles are small stones which cannot be eaten,0
139,A refrigerator is for keeping the items cold,0
140,Twinkies are not essential to life and cannot be inhaled,0
141,Stone does not bore flower,0
142,Cat is an animal and cannot drive,0
143,Temple is not a place to watch movies and no one plays movie there,0
144,Hospital is a place to treat sick people and not a place to play,0
145,A caterpillar is to small to eat a dog.,0
146,Only railway services own trains,0
147,"A pizza parlor wouldn't have workout equipment, and sells fattening food.",0
148,basket ball is very big in size and used to play basket ball game,0
149,Dog is an animal and does not understand our language and cannot help in our office work,0
150,Removing your teeth will have no effect on wifi signal,0
151,Light travels faster than sound,0
152,jumping from buildings is injurious to health,0
153,Lions lives in forests and zoos,0
154,"Speeding is against the law, you wouldn't be rewarded for it.",0
155,They would likely hurt themselves if they threw a knife back and forth.,0
156,Dogs do not have wings,0
157,Horses aren't able to bark like dogs.,0
158,Pizza isn't suitable for drinking coffee.,0
159,a movie cannot be seen in a library.,0
160,A liquid cannot be in a solid form.,0
161,Atoms are much smaller then ants.,0
162,blood bank is the place to collect blood and store for treatment and is not a place serving food,0
163,Bike cannot fly,0
164,The Military cannot order the President,0
165,hospital is for treatment of patient,0
166,Hair oil cannot be used to wash hair but to moisturize it,0
167,Helmet is not a place to watch movie,0
168,There are no kittens on the sun.,0
169,Gunpowder burns rapidly in seconds,0
170,crocodile is much longer than fridge,0
171,You can't get soup from a job interview,0
172,Lion is an animal,0
173,An eraser is used to erase something written in a paper,0
174,"Tears are composed by water, not wood",0
175,"The definition of weightlifter is someone who lifts objects of varying mass, without objects (weights) you can not be a weightlifter.",0
176,The AC was made to keep us cool not just to push buttons.,0
177,The car does not need to be mowed.,0
178,You cannot cook an Indian.,0
179,No one eat silver spoon as food.,0
180,It's impossible for a dog to run in the sky,0
181,Corn grows on stalks from the ground.,0
182,Wolf cannot be pet,0
183,Tuna is a food Friday is a day.,0
184,A person cannot go inside a mirror.,0
185,Television cannot watch someone,0
186,Cockroaches that inhabit the soil are a type of insect with many legs and black or brown,0
187,You can go to a police station to report a crime not for shopping,0
188,We talk with our mouth.,0
189,Any Human does not have blue skin.,0
190,Senators do not have customers.,0
191,A tree is not an edible food.,0
192,Flying cars do not exist yet.,0
193,"A snow scraper would only be needed if it were snowed, but not for power on the car",0
194,Horses do not hiss.,0
195,"Beer is mainly made of water, but also contains a small bit of alcohol depending on the brand",0
196,You wouldn't keep a pen and paper in the bathroom,0
197,Pen is an object to write and does not open door,0
198,A baby cannot carry a man since she is much smaller and weaker than a man and hence does not have the strength to do it.,0
199,You can not eat paint,0
200,Celery is not usually a dessert.,0
201,Paper is not a material from which you can make a coat,0
202,Waffle makers are used to cook waffles.,0
203,A dog will not fit inside a can of dog food.,0
204,There are no houses made of paper.,0
205,Whales do not fly.,0
206,No one uses trash to put on makeup.,0
207,Cricket should be played in play ground and laboratory is an indoor place,0
208,It is impossible to take family trips to space.,0
209,cancer causes death not smoking,0
210,Glass is too hard to be happily chewed.,0
211,An elephant is too big to get into a can.,0
212,"Boys can not throw pigs,",0
213,You do not go to  bars to adjust a hygiene issue.,0
214,A groceries store does not sell materials for building a house,0
215,you can not die from someone touching you with a finger.,0
216,Raccoons don't actually read books.,0
217,Truck usually have got specific parking lots for them,0
218,It's not possible to swim in a skate park.,0
219,Guns are not used to fire rocks,0
220,A person can't drive a car to the moon,0
221,river cant occupy mountains,0
222,You can not fly in boxes.,0
223,You would not buy popcorn after you have already seen the movie.,0
224,Flies are smaller than fridges.,0
225,Drinking alcohol before driving is forbidden and dangerous,0
226,Dinner is generally the last of the meals when there is almost no sun,0
227,a motorbike sinks in the sea,0
228,Icecream cannot be baked and is made in Freezer.,0
229,Rocket can only fly in the sky,0
230,Clinics are meant for treatment,0
231,There are specific paths for pedestrians in which cars cannot enter,0
232,A fish cannot be put on the chair because it has no water.,0
233,A lathe is found in machine tool workshops,0
234,No one uses comb to record on television.,0
235,The bathtub is to small for a car.,0
236,A stack of buses can not fit into a desk,0
237,Cars are not washed in washing machines,0
238,Plumbing profession is not related to film making and the person who make film is called director,0
