0,0,He poured milk on his cereal.
1,0,He drinks milk.
2,0,I like to ride my bike
3,0,he pour water in to the jug
4,0,Kids find eggs on Easter.
5,0,Mark drank water.
6,0,He went to the bank to withdraw cash.
7,0,Lisa played jazz music for the President of the USA yesterday.
8,0,the computer broke down and the technician will fix it
9,0,I drank water.
10,0,I usually wear a shoes in my feet
11,0,She took the dog for a walk
12,0,He mowed the tall grass
13,0,I drive a car
14,0,I dress myself
15,0,Boat is a very good mode of water transport
16,0,She rode her bike to the store.
17,0,He planted cucumber seeds in the garden.
18,0,I play games on my laptop
19,0,A boy turns off the light
20,0,He read a  book about King Tut.
21,0,I read a book
22,0,I use internet in my mobile
23,0,She drove her children to the playground.
24,0,The fish swam in the ocean.
25,0,I swim in a swimming pool
26,0,I run in the ground
27,0,There was a woman riding an elephant in Africa.
28,0,He ate an apple
29,0,Jack ate mango
30,0,the school was open for fall
31,0,The chocolate melted
32,0,He was tired and so he went to get into his bed.
33,0,You can use a checkbook holder to hold checks.
34,0,Actors are people who play characters in television or theatre
35,0,A man drove a car.
36,0,A small dog is called a puppy
37,0,The man went to work
38,0,My daughter always takes bath in a shower and avoids bath tub
39,0,They shared their popcorn at the cinema
40,0,An actor can wear a costume.
41,0,She spoke to a man at the door.
42,0,You will find teachers in a school.
43,0,They built a house.
44,0,There was a bird flying.
45,0,He played the harp very well
46,0,He jumped on the trampoline
47,0,A computer can run out of storage.
48,0,People cry when they are sad.
49,0,He put a sock on his foot.
50,0,he shaved his beard
51,0,She put mustard on a corndog.
52,0,Tight shoes cause discomfort.
53,0,"A diet is a great way to lower blood pressure, and lose weight."
54,0,Plants can make carbohydrates
55,0,france is in Europe
56,0,"When a baby is born, that day is called its' birthday."
57,0,A lady shops at Walmart
58,0,Drinking alcohol gets you drunk.
59,0,A forest is an area covered with trees
60,0,He built a building
61,0,She cut the meat with a knife.
62,0,People write with pens.
63,0,The whale swims in the ocean.
64,0,A boxer is likely to throw a punch in a boxing match.
65,0,There was a person drinking water.
66,0,She drank a cup of tea.
67,0,He moved his belongings to a new city
68,0,He took the trash out to the curb.
69,0,She delivered a pizza.
70,0,She brushed her teeth with a brush.
71,0,The man entered the house
72,0,He put an orange on the shelf
73,0,Jill wrote a book about wizards.
74,0,The ice melted at room temperature.
75,0,He walked to the store
76,0,Dwight cut down a tree
77,0,he swam in the lake
78,0,she ate a banana
79,0,I use swords
80,0,The Piano was played
81,0,today will be 24 hours
82,0,He threw the ball into the basket.
83,0,He ate barbecue.
84,0,He danced on the floor
85,0,A portrait is a painting or a photograph which focuses on the face of a person
86,0,He was walking on the road.
87,0,A shark eats a fish
88,0,She lifted a chair.
89,0,She makes a phone call.
90,0,Something you can find on a desktop is dust.
91,0,A bread knife is used for cutting bread
92,0,She makes omelette with chicken's egg.
93,0,The water on the stove is boiling.
94,0,He put the pills in his mouth.
95,0,Dog's love eating meat.
96,0,He rode his car across the highway
97,0,I put my dog on the couch
98,0,There was a snake wrapped around a tree.
99,0,A pocket knife is very useful.
100,0,The man got in the car and drove off
101,0,Ohio is a state in America
102,0,I baked a gluten-free cake.
103,0,He plays tennis with a tennis ball
104,0,an apple a day keeps doctor away
105,0,She put the shoe on her foot.
106,0,A child can close a door.
107,0,There was a lion hunting a zebra.
108,0,A ruler is used for measuring distance between things
109,0,He went on holiday to Turkey
110,0,"When it is dark at home, you can turn on the light"
111,0,He drinks beer in a mug
112,0,The family came back from the movies
113,0,The man had a pizza for dinner
114,0,People drink water to hydrate themselves.
115,0,He cooked milk in the pan.
116,0,Dirty dishes can be cleaned in a dishwater.
117,0,The dog barked at the mailman.
118,0,The woman played football
119,0,The eagle flew high in the sky
120,0,100 is one hundred
121,0,I typed something on the keyboard
122,0,The dog goes for a walk three times a day.
123,0,He didn't want to leave from inside his house.
124,0,He unlocked the door with a key.
125,0,He took his dog to the veterinarian for a health check-up.
126,0,Potatoes is the plural of potato
127,0,People went to church to pray
128,0,Curtains stop light from entering the room.
129,0,He sent a text message in mobile
130,0,He drinks tea every morning
131,0,She pushed her trolley around the supermarket to collect groceries
132,0,He packed his clothes in a bag
133,0,He bought chicken to cook food
134,0,I want to play football on my xbox
135,0,Mobiles are easy to carry
136,0,She was eating chocolate
137,0,She got into bed to sleep.
138,0,A planet has a sphere shape
139,0,My house is white.
140,0,You can buy beer in bottles
141,0,It rains occasionally which is good for the trees and grass.
142,0,If she is dead she won't be buying anything any more.
143,0,She worked out the answer on the calculator
144,0,She hung a picture frame on the wall.
145,0,Doctors are good people
