11016	1	a	his new shoes are made of peanut butter.
19749	0	a	a credit card allows me to pay money later
12192	1	a	the picture is looking at me.
17086	0	a	a person wants to share his life with someone he loves.
17339	0	a	it's his wedding ceremony today, so he chose a fancy suit for himself
7336	1	a	a steak will give a happy ending to this meal
1376	0	a	he took his dog to a vet
6975	1	a	i watch the opera in the cinema.
3518	0	a	peter likes to pack things in a suitcase.
12326	1	a	the barber told the patient's family that the surgery went smoothly
9215	1	a	the leaves are yellow in summer.
17919	0	a	a dog is walking on the ground
1551	0	a	i traveled to spain by plane.
6576	1	a	many cats like apples
7420	1	a	all animals are very aggressive
5684	1	a	she eat chicken from her vegetable soup
4381	0	a	he put some soy sauce to make the noodles taste better
9282	1	a	the swimming pool is a good place to sleep.
9655	1	a	many clouds fell to the ground during the windstorm yesterday
13243	1	a	the potala palace is a famous building in xinjiang.
16149	0	a	usually summer is hot
5026	1	a	the storage in every computer is unlimited.
1454	0	a	he cooked the chicken strips for dinner.
15633	0	a	a horse live on a farm.
4481	0	a	i put all my stuff in the luggage to travel
16213	0	a	the man put the chicken in the oven.
8115	1	a	the excavator dug sun in the ground
16332	0	a	he drove the car.
4770	0	a	newspapers are printed by printers
18540	0	a	we can find asia on the map of the world.
9657	1	a	anything can't be bought for the high price
9236	1	a	staying up late can prolong a person's life.
13233	1	a	the sun sets in the morning.
8404	1	a	the singer sings with a remote control.
9558	1	a	alex was lost so he drew a map
16057	0	a	johnny ate an apple as his snack.
14253	1	a	he put out the fire with oil
6057	1	a	i used my pants to call my mother.
17488	0	a	i saw a tiger in the zoo yesterday
7854	1	a	paper would be dry in water
13900	1	a	lebron james is an american professional football player
4065	0	a	the earth is a sphere
13861	1	a	we can always see stars when we look up at night
19510	0	a	the businessman went to the airport to catch a plane
6962	1	a	the bird sings beautiful story
16984	0	a	the people you help will help you
18483	0	a	coffee will make people very awake
9703	1	a	i used an umbrella to avoid drenching on the beach
16334	0	a	he went to the airport to catch the flight
949	0	a	i put my keys in my pocket
16748	0	a	my shampoo smells like vanilla
5452	1	a	squids are land animals
14054	1	a	plastic does not change when exposed to sunlight
15864	0	a	the sunscreen protects me from the sun
17610	0	a	because his car was damaged, he received rmb 1000 from insurance company
18256	0	a	basketball is played by hand.
11604	1	a	the warm tropical breeze was cold
703	0	a	the sun is too hot
10034	1	a	the country of liegenpoofa exists
12833	1	a	if my brother wins the bet, i will order him to do all my chores.
6583	1	a	mom cooks soup with a knife
17582	0	a	we are selecting the book shelf in the store
16374	0	a	climbing a mountain requires physical fitness
5277	1	a	cockroaches are white insects
4738	0	a	everyone is amazed at her appearance when they first time see her
12957	1	a	having a bad cold makes cindy enjoyable
17741	0	a	you should fly your kite against the wind
12269	1	a	movie is used to help an audience visualize the simulated environment
17907	0	a	being alive is the opposite of being dead
5437	1	a	they ate a cigarette in the afternoon
1572	0	a	she puts clothes in the washer to clean them.
8700	1	a	she takes the subway to mars every day
15357	0	a	a bird was flying in the sky
15658	0	a	an aeroplane is an automobile used to travel in air
16281	0	a	many people in the marina live aboard their boats.
8454	1	a	the calendar shows the time.
15314	0	a	he cooked sphegatti in his kitchen
5851	1	a	she went to the movies to buy bread
3580	0	a	people often wipe their sweat with towels.
6530	1	a	i traveled to spain by bird.
19774	0	a	the roof shelters us from the rain
7271	1	a	pig is probably in a class
2193	0	a	not all rich people are immoral
18949	0	a	we are asking people to boycott the companies that use child labor.
10123	1	a	something you find in a living room is a cheetah
14442	1	a	tim buys a pair of socks to prevent his bike from being stolen
12082	1	a	plastic forks are expensive and disposable
11853	1	a	play is for replenishing energy sources
2084	0	a	guilty people are punished
5459	1	a	the car walks on the sidewalk and the pedestrian in the middle of the road
4196	0	a	frogs can live in the water.
6654	1	a	she cooked the giraffe in the oven.
6426	1	a	a cat can hunt lice
19933	0	a	most people consider it to be cold when it is below zero degrees
19667	0	a	people can pick lemons off from trees
3582	0	a	cola contains a lot of pigments.
9892	1	a	he throws up when he eats nice food
19987	0	a	frank had a stomachache so he drank more hot water
16170	0	a	a wheel is a round object
3625	0	a	i put my pens in my pencil box
8733	1	a	she put lipstick on her eyebrows
19595	0	a	we found empty seats in the theater so we sat down
2133	0	a	a blade can be used to cut
6579	1	a	the teacher sent the rainwater to the class using e mail.
110	0	a	when it is dark at home, you can turn on the light
15852	0	a	a globe is shaped like a sphere.
6870	1	a	the student paints so well that he wants to become a musician.
16667	0	a	she was ice skating on ice
8196	1	a	mother works in the box.
17346	0	a	those students skipped the class to play lead of legend in the internet cafe
16466	0	a	the floor was wet, and she slipped in a puddle
4743	0	a	the fish is a very common dish for coastal people
9531	1	a	mia got a discount on her groceries so she spent more money
14158	1	a	plastics are very hard.
4976	0	a	mark ate a big sweet cherry pie
12841	1	a	my sister ate the box of chocolates.
2111	0	a	we picked the apple from the tree
8627	1	a	he jumped into the sandpit to save the drowning kid
1428	0	a	they heard the bell.
14951	1	a	she prepares a custom-designed nightgown for the ceremony
18799	0	a	little tommy was scared to tears by the horrible movie
12567	1	a	my favorite chair is apple juice
16446	0	a	my to-do list is packed! 1) pay cell phone bill on time.
642	0	a	she ate a chocolate bar
9970	1	a	i cook football very well
4548	0	a	the yard was wet after several days of rain
14273	1	a	he is nearsighted, so he has a pair of reading glasses
13727	1	a	he eats his chips with toothpaste
13527	1	a	people shed tears after strenuous exercise
11960	1	a	you are likely to find a shark in a hole in the ground.
9941	1	a	people get together to fight on christmas eve
3847	0	a	we should mute our mobile phones in the library.
18025	0	a	he drank a bottle of juice
16339	0	a	he wore the shoes in the legs for walking
1655	0	a	the light is bright
7872	1	a	there are lots of pens in a book
13442	1	a	the teacher writes on a pencil.
